21303941;ENT1;TEL2
21607204;TEL1;ENT4
21000283;ENT3;BDD4
21602382;TEL1;BDD2
21614178;ENT3;BDD4;TEL2
21604847;ENT1;BDD2
21607888;ENT1;TEL2
21608114;BDD2;ENT1
21205193;ENT4;BDD2;TEL2
21612818;TEL2;ENT4
21608574;BDD2;ENT1
21609837;TEL1;ENT1
21612027;TEL2;ENT4
21604240;ENT4;BDD4
21612102;BDD4;TEL2
21312769;BDD2;ENT4
21310919;BDD4;TEL2
20900001;TEL2;ENT4
21211155;ENT4;BDD2
21600204;TEL1;BDD4
21513259;BDD3;TEL1
21300482;BDD1;ENT4
21601414;TEL1;ENT1
21508535;ENT3;BDD1
21606413;BDD4;ENT4
21410102;TEL4;BDD4
21606083;ENT4;TEL1
21610371;TEL4;BDD2
21501264;ENT1;TEL2
21209643;ENT1;BDD2
21127965;ENT4;BDD3
21206571;BDD1;ENT4
21606089;TEL1;ENT3;BDD4
21612735;TEL4;BDD1
21301364;TEL1;BDD2
21604603;TEL1;BDD1
21304224;ENT3;BDD1
21612644;ENT3;TEL2
21503467;ENT4;TEL1;BDD1
21200810;TEL3;BDD3
21612812;ENT1;TEL2
21210564;TEL2;ENT4
21513288;ENT1;TEL3;BDD1
21608805;TEL3;BDD3
21305740;ENT3;TEL2
21603627;TEL1;BDD3
21609956;TEL3;BDD3
21607472;ENT3;TEL2
21504747;TEL1;BDD3
21303808;ENT3;BDD3
21600950;ENT4;TEL2
21303951;TEL4;ENT1;BDD3
21607200;ENT4;BDD3
21305511;ENT2;BDD3
21202059;ENT1;BDD2
21501742;TEL2;BDD2
21601307;TEL1;BDD4
21510665;TEL4;ENT3
21302464;TEL4;ENT1
21611968;TEL2;BDD1
21307803;ENT4;TEL3
21301511;ENT2;TEL2
21300755;ENT4;TEL3;BDD1
21612757;ENT2;BDD2
21307376;ENT4;BDD1
21611569;ENT4;TEL3;BDD4
21600736;TEL1;ENT1
21503727;ENT4;TEL2
21129518;ENT4;BDD2
21603249;ENT2;TEL3;BDD2
21313363;ENT2;TEL3
21613081;TEL4;BDD2
21301652;TEL4;ENT2
21608147;ENT1;BDD2
21505793;ENT3;BDD4
21300112;TEL4;ENT1
21604841;ENT2;TEL3
21612916;TEL1;ENT3
21613377;TEL4;ENT2
21124850;ENT2;TEL2
21603023;ENT4;TEL3
21504162;ENT2;TEL2
21604926;ENT2;BDD2
21611839;TEL4;ENT3
21412817;TEL3;BDD1
21610993;TEL1;ENT1
21413331;ENT3;BDD2
21602307;TEL4;BDD1
21301480;ENT4;BDD1
21606898;ENT3;BDD1
21612589;TEL4;BDD4
21605679;ENT3;BDD4
21604179;ENT2;TEL3
21502836;ENT4;BDD1
21605218;TEL1;BDD4
21300172;ENT2;BDD4
21204826;TEL4;BDD4
21501541;ENT3;BDD3
21501735;ENT3;BDD1
21401417;ENT4;TEL1
21607236;TEL2;BDD2
21603250;ENT4;TEL2
21302333;ENT1;BDD1
21302746;ENT3;BDD1
21612651;TEL3;BDD3
21302406;ENT1;TEL3;BDD1
21610423;ENT2;TEL3
21312721;ENT3;BDD3
21600351;TEL4;ENT1
21304610;TEL4;ENT1
21306383;TEL4;ENT1
21307044;TEL4;ENT3
21612820;TEL1;ENT3
21613876;ENT4;TEL2;BDD2
21606560;TEL1;BDD3
21313040;TEL4;ENT3
21306439;ENT2;TEL3
21611333;ENT2;BDD3
21612676;TEL3;BDD4
21611945;TEL3;BDD4
21612669;TEL3;ENT1
21609571;TEL3;ENT1
21603029;ENT2;BDD4
21603231;TEL4;ENT3
21612951;ENT2;TEL2
21204583;ENT1;TEL1;BDD3
21605971;ENT4;TEL3;BDD3
21511246;ENT4;BDD3
21309620;TEL4;ENT2;BDD3
21303289;ENT1;BDD1
21606583;TEL3;ENT1
21607671;ENT1;BDD1
21600838;TEL1;ENT3;BDD2
21612641;ENT2;BDD4
21612762;TEL4;ENT3
21510487;ENT4;TEL1
21311368;ENT2;BDD3
21306599;ENT3;BDD3
21302618;TEL4;ENT3;BDD3
21601060;TEL1;ENT1
21301327;ENT2;TEL3
21205596;TEL3;BDD2
21301052;ENT4;BDD3
21400339;ENT2;TEL2
21131561;TEL4;ENT2
21612768;ENT4;BDD4
21606337;TEL4;ENT2
21312143;ENT2;TEL3
21600295;TEL1;BDD2
21307271;TEL1;ENT3;BDD4
21303331;ENT2;BDD4
21101626;ENT2;BDD1
21407890;TEL1;ENT3
21600135;TEL4;ENT1;BDD3
21305455;ENT1;TEL3;BDD1
21613371;ENT2;TEL3
21612758;ENT2;BDD2
21612311;ENT2;TEL3;BDD2
21304071;ENT1;TEL3;BDD3
21208898;ENT2;TEL2
21612822;TEL3;BDD2
21124190;TEL4;ENT3
21304110;TEL4;ENT3
21601605;TEL1;ENT3
21307125;ENT3;BDD4
21303950;TEL2;BDD1
21600023;TEL1;ENT1
21603982;TEL4;BDD3
21604993;ENT2;BDD1
21605905;TEL1;BDD3
21600831;TEL1;BDD4
21304554;TEL2;ENT3;BDD1
21202495;TEL4;BDD3
21408771;ENT2;BDD4
21604498;TEL3;BDD1
21612653;TEL4;BDD2
21613784;TEL4;BDD4
21302641;TEL2;BDD4
21303914;ENT2;BDD3
21609786;TEL2;BDD1
21515466;ENT4;BDD2
